Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Baar;6340;0;Baar;ZG;683202;228006
Baar (Nendaz);1996;5;Nendaz;VS;591307;116812
Bachenbülach;8184;0;Bachenbülach;ZH;683382;261739
Bachs;8164;0;Bachs;ZH;674334;264692
Bad Ragaz;7310;0;Bad Ragaz;SG;754684;208304
Bad Zurzach;5330;0;Bad Zurzach;AG;664400;271603
Baden;5404;0;Baden;AG;663311;256264
Baden;5400;0;Baden;AG;664371;258214
Baldegg;6283;0;Hochdorf;LU;663950;226195
Baldingen;5333;0;Baldingen;AG;665846;267497
Balerna;6828;0;Balerna;TI;721907;78029
Balgach;9436;0;Balgach;SG;764139;251561
Ballaigues;1338;0;Ballaigues;VD;521421;176510
Ballens;1144;0;Ballens;VD;518673;156373
Ballmoos;3303;4;Jegenstorf;BE;602777;209968
Ballwil;6275;0;Ballwil;LU;667678;223192
Balm b. Günsberg;4525;0;Balm bei Günsberg;SO;607872;234148
Balm b. Messen;3254;2;Messen;SO;599726;217029
Balmberg;4524;2;Balm bei Günsberg;SO;607966;235157
Balsthal;4710;0;Balsthal;SO;620368;240263
Balterswil;8362;0;Bichelsee-Balterswil;TG;713084;256785
Baltschieder;3937;0;Baltschieder;VS;632578;128804
Baltschieder;3937;0;Baltschieder;VS;634046;136159
Balzers;9496;0;Balzers (LI);;757161;214955
Banco;6981;16;Bedigliora;TI;708608;96412
Bangerten b. Dieterswil;3256;2;Bangerten;BE;600717;211796
Bannwil;4913;0;Bannwil;BE;622059;231939
Barbengo;6917;0;Lugano;TI;714576;91027
Barberêche;1783;4;Barberêche;FR;578103;189956
Bargen BE;3282;0;Bargen (BE);BE;585685;209373
Bargen SH;8233;0;Bargen (SH);SH;686418;294373
Barmelweid;5017;0;Erlinsbach (AG);AG;640395;252538
Barzheim;8241;0;Thayngen;SH;695787;290732
Basadingen;8254;0;Basadingen-Schlattingen;TG;697724;279489
Basel;4051;0;Basel;BS;611145;267063
Basel;4054;0;Basel;BS;609809;266649
Basel;4052;1;Basel;BS;611866;263539
Basel;4053;0;Basel;BS;612226;265301
Basel;4059;0;Basel;BS;611656;264552
