Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Les Places (Versegères);1947;3;Bagnes;VS;584528;101254
Les Planchettes;2325;0;Les Planchettes;NE;549140;217590
Les Plans-sur-Bex;1880;4;Bex;VD;574680;120864
Les Pommerats;2353;0;Saignelégier;JU;565926;237567
Les Pontins;2610;3;Saint-Imier;BE;567328;219930
Les Ponts-de-Martel;2316;0;Les Ponts-de-Martel;NE;545232;204495
Les Posses-sur-Bex;1882;2;Bex;VD;569699;124944
Les Prés-d'Orvin;2534;2;Orvin;BE;578486;222397
Les Rasses;1452;0;Bullet;VD;531118;187968
Les Reussilles;2722;0;Tramelan;BE;572324;230677
Les Sagnettes;2124;0;Val-de-Travers;NE;536045;199014
Les Sciernes-d'Albeuve;1669;3;Haut-Intyamon;FR;569132;149645
Les Taillères;2406;2;La Brévine;NE;534337;202775
Les Tavernes;1607;3;Oron;VD;551778;155932
Les Thioleyres;1607;4;Oron;VD;551910;154009
Les Valettes (Bovernier);1932;2;Bovernier;VS;571725;102917
Les Verrières;2126;0;Les Verrières;NE;526457;196596
Les Vieux-Prés;2054;2;Chézard-Saint-Martin;NE;561115;215729
Les Vérines (Chamoson);1955;2;Chamoson;VS;581839;117363
Lessoc;1669;2;Haut-Intyamon;FR;572434;150804
Leuggelbach;8774;0;Glarus Süd;GL;721198;204396
Leuggern;5316;0;Leuggern;AG;658818;270000
Leuk Stadt;3953;0;Leuk;VS;615666;129794
Leukerbad;3954;0;Leukerbad;VS;613586;138562
Leutwil;5725;0;Leutwil;AG;655614;239915
Leuzigen;3297;0;Leuzigen;BE;602311;224455
Levron;1942;0;Vollèges;VS;578476;105804
Leysin;1854;0;Leysin;VD;566909;133413
Leytron;1912;0;Leytron;VS;582425;115089
Li Curt;7745;0;Poschiavo;GR;799354;130413
Libingen;9614;0;Mosnang;SG;719527;242131
Lichtensteig;9620;0;Wattwil;SG;725360;242235
Liddes;1945;0;Liddes;VS;583291;93134
Liebefeld;3097;0;Köniz;BE;598616;197741
Liebistorf;3213;0;Gurmels;FR;581197;195682
Liedertswil;4436;2;Liedertswil;BL;621271;248667
Lieffrens;1688;2;Vuisternens-devant-Romont;FR;558562;164642
Lieli LU;6277;2;Hohenrain;LU;665711;229447
Lienz;9464;2;Altstätten;SG;756975;239101
Liesberg;4253;0;Liesberg;BL;598640;249571
Liesberg Dorf;4254;0;Liesberg;BL;598180;250622
Liestal;4410;0;Liestal;BL;621618;259171
Liez (St-Martin);1969;2;Saint-Martin (VS);VS;600951;112223
Ligerz;2514;0;Ligerz;BE;577187;215394
Lignerolle;1357;0;Lignerolle;VD;523976;178300
Lignières;2523;0;Lignières;NE;571087;215641
Ligornetto;6853;0;Ligornetto;TI;717597;80128
Limpach;3317;0;Limpach;BE;604578;217612
Lindau;8315;0;Lindau;ZH;693462;255525
Linden;3673;0;Linden;BE;618693;188661
Linescio;6682;0;Linescio;TI;687604;129452
Linn;5224;3;Linn;AG;651565;257966
Linthal;8783;0;Glarus Süd;GL;716928;192190
Lipperswil;8564;5;Wäldi;TG;721464;275332
Lippoldswilen;8566;5;Kemmental;TG;726021;274742
Littenheid;9573;0;Sirnach;TG;718363;255717
Litzirüti;7058;0;Langwies;GR;772717;185559
Lobsigen;3268;0;Seedorf (BE);BE;589365;207440
Loc;3960;3;Randogne;VS;605132;127273
Locarno;6600;0;Locarno;TI;704654;113239
Locarno;6600;0;Locarno;TI;702472;115758
Loco;6661;0;Isorno;TI;695353;118169
Lodano;6678;2;Maggia;TI;694041;123051
Lodrino;6527;0;Lodrino;TI;716386;127582
Lohn GR;7433;3;Lohn (GR);GR;751606;169029
Lohn SH;8235;0;Lohn (SH);SH;692409;290372
Lohn-Ammannsegg;4573;0;Lohn-Ammannsegg;SO;606761;224345
Lohnstorf;3127;2;Lohnstorf;BE;605515;183940
Lommis;9506;0;Lommis;TG;717481;263851
Lommiswil;4514;0;Lommiswil;SO;602362;230894
Lonay;1027;0;Lonay;VD;529442;153623
Longirod;1261;35;Longirod;VD;508053;151142
Lopagno;6956;0;Capriasca;TI;719279;104867
Lopagno;6956;0;Capriasca;TI;719960;104477
Lopagno;6956;0;Capriasca;TI;720144;108636
Losone;6616;0;Losone;TI;700909;113928
Lossy;1782;3;La Sonnaz;FR;574490;187265
Lostallo;6558;0;Lostallo;GR;737661;129567
Lostorf;4654;0;Lostorf;SO;637481;248863
Lottigna;6716;3;Acquarossa;TI;716560;146986
Lotzwil;4932;0;Lotzwil;BE;626762;226476
Lourtier;1948;0;Bagnes;VS;586842;98411
Lovatens;1682;2;Lovatens;VD;556271;171637
Lovens;1756;2;La Brillaz;FR;568138;180057
Loveresse;2732;4;Loveresse;BE;584934;232507
Luc (Ayent);1966;3;Ayent;VS;598765;125750
Lucelle;2807;1;Pleigne;JU;585259;251894
Lucens;1522;0;Lucens;VD;553959;173210
Luchsingen;8775;1;Glarus Süd;GL;718683;204408
Ludiano;6721;0;Ludiano;TI;716297;142181
Lufingen;8426;0;Lufingen;ZH;687058;259737
Lugaggia;6953;0;Capriasca;TI;721661;107539
Lugaggia;6953;0;Capriasca;TI;718589;101618
Lugano;6900;0;Lugano;TI;717377;96892
Lugnez;2933;3;Lugnez;JU;574176;259385
Lugnorre;1789;0;Haut-Vully;FR;572274;200870
Luins;1184;0;Luins;VD;510715;143637
Lully FR;1470;2;Lully (FR);FR;555115;187136
Lully VD;1132;0;Lully (VD);VD;525210;150930
Lumbrein;7148;0;Lumbrein;GR;722293;169260
Lumino;6533;0;Lumino;TI;725826;122583
Lungern;6078;0;Lungern;OW;654879;182040
Lupfig;5242;2;Lupfig;AG;657529;254764
Lupsingen;4419;0;Lupsingen;BL;619670;255356
Lurtigen;3215;3;Lurtigen;FR;579681;197403
Lussery-Villars;1307;0;Lussery-Villars;VD;530071;164976
Lussy FR;1690;2;La Folliaz;FR;561817;174291
Lussy-sur-Morges;1167;0;Lussy-sur-Morges;VD;523983;150495
Lustdorf;8512;2;Thundorf;TG;716419;267915
Lustmühle;9062;0;Teufen (AR);AR;744488;251486
Luterbach;4542;0;Luterbach;SO;611394;229491
Luthern;6156;0;Luthern;LU;635331;211338
Luthern Bad;6156;2;Luthern;LU;636427;208689
Lutry;1095;0;Lutry;VD;542696;150841
Lutzenberg;9426;0;Lutzenberg;AR;761061;258531
Luven;7141;0;Luven;GR;733733;179713
Luzein;7242;0;Luzein;GR;776980;199254
Luzern;6015;0;Luzern;LU;663723;212870
Luzern;6003;0;Luzern;LU;665225;211364
Luzern;6014;0;Luzern;LU;661234;212059
Luzern;6004;0;Luzern;LU;665330;212502
Luzern;6005;0;Luzern;LU;666826;209609
Luzern;6006;0;Luzern;LU;667998;212330
Lyss;3250;0;Lyss;BE;590284;213846
Lyssach;3421;0;Lyssach;BE;610867;213006
Lyssach;3421;0;Oberburg;BE;611752;210858
Längenbühl;3636;0;Forst-Längenbühl;BE;607614;178560
Lätti;3053;5;Rapperswil (BE);BE;599676;209553
Läufelfingen;4448;0;Läufelfingen;BL;631285;249099
Léchelles;1773;0;Léchelles;FR;568181;186518
Löhningen;8224;0;Löhningen;SH;683106;284491
Lömmenschwil;9308;0;Wittenbach;SG;744775;262042
Lü;7534;0;Val Müstair;GR;824344;168891
Lüchingen;9450;2;Altstätten;SG;759989;250540
Lüen;7027;1;Lüen;GR;766586;189573
Lüscherz;2576;0;Lüscherz;BE;579001;210491
Lüsslingen;4574;1;Lüsslingen;SO;604614;226949
Lüterkofen;4571;1;Lüterkofen-Ichertswil;SO;605397;223867
Lüterswil;4584;2;Lüterswil-Gächliwil;SO;600131;218415
Lütisburg;9604;0;Lütisburg;SG;726093;250476
Lütisburg Station;9601;0;Bütschwil;SG;722960;249100
Lütschental;3816;0;Lütschental;BE;639344;165783
Lützelflüh-Goldbach;3432;0;Lützelflüh;BE;618714;206175
Macolin;2532;0;Evilard;BE;582857;221325
Madetswil;8322;0;Russikon;ZH;702204;252152
Madiswil;4934;0;Madiswil;BE;627531;223549
Madonna del Piano;6995;2;Croglio;TI;708057;94035
Madrano;6780;2;Airolo;TI;691507;153608
Madulain;7523;0;Madulain;GR;791108;162676
Madulain;7523;0;Madulain;GR;796912;152841
Magadino;6573;0;Gambarogno;TI;711305;111186
Magden;4312;0;Magden;AG;627904;263170
Maggia;6673;0;Maggia;TI;699790;125099
Magliaso;6983;0;Magliaso;TI;712179;93337
Maglio di Colla;6959;0;Valcolla;TI;723639;105138
Magnedens;1727;2;Corpataux-Magnedens;FR;572515;176720
Maienfeld;7304;0;Maienfeld;GR;759734;209711
Mairengo;6763;1;Mairengo;TI;704120;152037
Maisprach;4464;0;Maisprach;BL;630803;263697
Maladers;7026;0;Maladers;GR;762550;190283
Malans GR;7208;0;Malans;GR;763014;206504
Malans SG;9479;1;Wartau;SG;754621;217508
Malix;7074;0;Churwalden;GR;758676;186698
Malleray;2735;4;Malleray;BE;586977;231429
Maloja;7516;0;Bregaglia;GR;773626;136307
Malters;6102;0;Malters;LU;657409;209519
Malvaglia;6713;0;Malvaglia;TI;723065;144820
Mamishaus;3152;0;Schwarzenburg;BE;595338;184959
Mammern;8265;0;Mammern;TG;711413;278214
Mandach;5318;0;Mandach;AG;656445;267053
Mannenbach-Salenstein;8268;0;Salenstein;TG;720822;281218
Mannens;1775;2;Montagny (FR);FR;564244;183167
Manno;6928;0;Manno;TI;714539;98745
Maracon;1613;0;Maracon;VD;556789;156239
Marbach LU;6196;0;Marbach (LU);LU;635857;190167
Marbach SG;9437;0;Marbach (SG);SG;761725;250372
Marchissy;1261;32;Marchissy;VD;507381;149833
Mariastein;4115;0;Metzerlen-Mariastein;SO;603465;258409
Marin-Epagnier;2074;0;La Tène;NE;567573;206645
Marly;1723;0;Marly;FR;577755;180667
Marmorera;7456;2;Marmorera;GR;769801;152651
Marnand;1524;0;Valbroye;VD;559036;178755
Maroggia;6817;0;Maroggia;TI;718978;88364
Marolta;6723;3;Acquarossa;TI;713526;148353
Marsens;1633;0;Marsens;FR;569356;167360
Marthalen;8460;0;Marthalen;ZH;690374;275112
Martherenges;1063;2;Martherenges;VD;547732;168191
Martigny;1920;0;Martigny;VS;573763;106151
Martigny-Croix;1932;0;Bovernier;VS;572243;100878
Martigny-Croix;1921;0;Martigny-Combe;VS;568421;101192
Martina;7560;0;Tschlin;GR;829929;200057
Martisberg;3994;2;Martisberg;VS;650260;138412
Maschwanden;8933;0;Maschwanden;ZH;675132;232113
Mase;1968;0;Mont-Noble;VS;601015;115765
Masein;7425;0;Masein;GR;751717;173516
Maseltrangen;8723;2;Schänis;SG;722246;228627
Massagno;6900;5;Massagno;TI;716528;96803
Massongex;1869;0;Massongex;VS;565020;121061
Massonnens;1692;0;Massonnens;FR;564744;172058
Mastrils;7303;0;Landquart;GR;759658;203144
Mathod;1438;0;Mathod;VD;533465;179363
Mathon;7433;4;Mathon;GR;748809;167364
Matran;1753;0;Matran;FR;573277;181698
Matt;8766;0;Glarus Süd;GL;732938;202336
Matten (St. Stephan);3773;0;St. Stephan;BE;602544;150941
Matten b. Interlaken;3800;3;Matten bei Interlaken;BE;632707;169445
Mattstetten;3322;1;Mattstetten;BE;606247;208817
Mattwil;8585;1;Birwinken;TG;733261;271403
Matzendorf;4713;0;Matzendorf;SO;614381;239212
Matzingen;9548;0;Matzingen;TG;712205;264824
Mauborget;1453;2;Mauborget;VD;536918;191164
Mauensee;6216;0;Mauensee;LU;648226;224357
Maules;1625;2;Sâles;FR;566190;165812
Maur;8124;0;Maur;ZH;693110;243650
Mauraz;1148;2;Mauraz;VD;521788;161834
Mauren FL;9493;0;Mauren (LI);;759637;231945
Mauren TG;8576;0;Berg (TG);TG;729009;269713
Mayens-de-Chamoson;1911;2;Chamoson;VS;580223;118878
Mayens-de-la-Zour (Savièse);1965;6;Savièse;VS;588269;129411
Medeglia;6809;0;Comunanza Cadenazzo/Monteceneri;TI;725167;111203
Medeglia;6809;0;Monteceneri;TI;717641;108883
Medels im Rheinwald;7436;0;Splügen;GR;741104;156692
Meggen;6045;0;Meggen;LU;670840;211467
Mehlsecken;6260;4;Reiden;LU;639264;232748
Meien;6485;0;Wassen;UR;682379;176155
Meienberg;5643;3;Sins;AG;671111;227811
Meienried;3294;2;Meienried;BE;592596;220679
Meierskappel;6344;0;Meierskappel;LU;675669;218856
Meikirch;3045;0;Meikirch;BE;594954;206466
Meilen;8706;0;Meilen;ZH;690713;237013
Meinier;1252;0;Meinier;GE;507223;121843
Meinisberg;2554;0;Meinisberg;BE;593580;223402
Meiringen;3860;0;Brienzwiler;BE;650488;172920
Meisterschwanden;5616;0;Meisterschwanden;AG;659452;238013
Melano;6818;0;Melano;TI;720876;86765
Melchnau;4917;0;Melchnau;BE;631635;225260
Melchsee-Frutt;6068;0;Kerns;OW;665510;181610
Melchtal;6067;0;Kerns;OW;665589;186344
Melide;6815;0;Melide;TI;716876;91072
Mellikon;5465;0;Mellikon;AG;668442;268337
Mellingen;5507;0;Mellingen;AG;662935;252520
Mels;8887;0;Mels;SG;751039;212288
Meltingen;4233;0;Meltingen;SO;610826;247976
Mendrisio;6850;0;Mendrisio;TI;719621;81268
Menzberg;6125;0;Menznau;LU;642605;209596
Menzengrüt;8546;3;Wiesendangen;ZH;703783;267375
Menziken;5737;0;Menziken;AG;657177;231937
Menzingen;6313;0;Menzingen;ZG;687921;225030
Menznau;6122;0;Menznau;LU;645559;214711
Menzonio;6692;0;Lavizzara;TI;694039;134532
Merenschwand;5634;0;Merenschwand;AG;671573;235218
Mergoscia;6647;0;Mergoscia;TI;706987;118957
Meride;6866;0;Meride;TI;716697;84253
Merishausen;8232;0;Merishausen;SH;687251;290915
Merligen;3658;0;Sigriswil;BE;623484;172213
Merlischachen;6402;0;Küssnacht (SZ);SZ;673502;213748
Mervelier;2827;0;Mervelier;JU;605774;243064
Merzligen;3274;3;Merzligen;BE;586176;214991
Mesocco;6563;0;Mesocco;GR;737083;140552
Messen;3254;0;Messen;SO;600883;215458
Mettau;5274;0;Mettauertal;AG;651773;268984
Mettembert;2806;0;Delémont;JU;592045;249023
Mettendorf TG;8553;3;Hüttlingen;TG;714805;270867
Mettlen;9517;0;Bussnang;TG;726648;266407
Mettmenstetten;8932;0;Mettmenstetten;ZH;677789;233600
Metzerlen;4116;0;Metzerlen-Mariastein;SO;602377;257399
Mex VD;1031;0;Mex (VD);VD;532765;158541
Mex VS;1890;1;Mex (VS);VS;565195;115151
Meyriez;3280;2;Meyriez;FR;574711;197005
Meyrin;1217;0;Meyrin;GE;494512;120971
Mezzana;6828;0;Coldrerio;TI;721198;79099
Mezzovico;6805;0;Mezzovico-Vira;TI;714085;106122
Mezzovico;6805;0;Monteceneri;TI;710961;104881
Middes;1749;0;Torny;FR;562585;180185
Mies;1295;1;Mies;VD;501707;128819
Miex;1896;2;Vouvry;VS;553220;132029
Miglieglia;6986;2;Miglieglia;TI;709394;98477
Milken;3157;0;Schwarzenburg;BE;594421;182532
Minusio;6648;0;Minusio;TI;706536;115050
Miralago;7743;2;Poschiavo;GR;805170;128109
Mirchel;3532;2;Mirchel;BE;616160;193397
Misery;1721;1;Misery-Courtion;FR;571822;188980
Missy;1565;0;Missy;VD;564544;191932
Misériez (Salins);1991;5;Salins;VS;592662;117268
Mitlödi;8756;0;Glarus Süd;GL;725598;208387
Mittelhäusern;3147;0;Köniz;BE;594879;191291
Mittellunden;7222;0;Schiers;GR;773103;202397
Miège;3972;0;Mollens (VS);VS;608878;132117
Miécourt;2946;0;La Baroche;JU;579829;253397
Mogelsberg;9122;0;Neckertal;SG;728246;246900
Moghegno;6677;2;Maggia;TI;696244;122157
Moiry VD;1148;8;Moiry;VD;524559;167349
Molare;6760;1;Faido;TI;708029;150341
Moleno;6524;0;Moleno;TI;718977;125437
Molinazzo di Monteggio;6995;0;Monteggio;TI;707043;94261
Molinis;7056;0;Molinis;GR;768465;186921
Mollens VD;1146;0;Mollens (VD);VD;517556;158863
Mollens VS;3974;0;Mollens (VS);VS;606368;129943
Mollie-Margot;1073;2;Savigny;VD;546587;156745
Mollis;8753;0;Glarus Nord;GL;725489;217408
Molondin;1415;0;Molondin;VD;547296;179534
Mols;8885;0;Quarten;SG;740005;219332
Moléson-sur-Gruyères;1663;4;Gruyères;FR;568924;156787
Mon;7458;0;Mon;GR;761505;168492
Moneto;6659;9;Centovalli;TI;691316;110352
Monible;2715;2;Monible;BE;581837;236393
Monnaz;1125;0;Echichens;VD;526437;153783
Mont-Crosin;2610;4;Cormoret;BE;568547;226276
Mont-Soleil;2610;2;Sonvilier;BE;563358;222434
Mont-Tramelan;2723;0;Mont-Tramelan;BE;570702;228913
Mont-de-Buttes;2116;0;Val-de-Travers;NE;529925;193283
Mont-la-Ville;1148;5;Mont-la-Ville;VD;519763;167446
Mont-sur-Rolle;1185;0;Mont-sur-Rolle;VD;515453;147950
Montagne-de-Courtelary;2608;2;Cortébert;BE;574291;223165
Montagne-de-Sonvilier;2615;2;Sonvilier;BE;563378;218967
Montagnier (Le Châble VS);1934;5;Bagnes;VS;583952;102461
Montagnola;6926;0;Collina d'Oro;TI;714508;93564
Montagnon (Leytron);1912;3;Leytron;VS;580979;115616
Montagny-la-Ville;1776;0;Montagny (FR);FR;566732;185442
Montagny-les-Monts;1774;2;Montagny (FR);FR;565990;183570
Montagny-près-Yverdon;1442;0;Montagny-près-Yverdon;VD;536735;182366
Montalchez;2027;2;Montalchez;NE;546629;195846
Montana;3963;3;Montana;VS;603952;127013
Montaubion-Chardonney;1041;22;Jorat-Menthue;VD;544515;166302
Montavon;2857;0;Boécourt;JU;584742;246771
Montbovon;1669;5;Haut-Intyamon;FR;566635;146398
Montbrelloz;1475;3;Vernay;FR;558004;189276
Montcherand;1354;0;Montcherand;VD;529106;176352
Monte;6875;0;Castel San Pietro;TI;723069;82095
Monte Carasso;6513;0;Monte Carasso;TI;718888;118001
Monte Generoso Bellavista;6872;0;Mendrisio;TI;721194;85036
Monte Generoso Vetta;6825;0;Castel San Pietro;TI;722548;87500
Monteggio;6998;0;Monteggio;TI;705655;94881
Monteiller-Savièse;1965;9;Savièse;VS;592726;122763
Montenol;2884;0;Clos du Doubs;JU;577640;244417
Montet (Broye);1483;0;Les Montets;FR;556524;185467
Montet (Glâne);1674;2;Montet (Glâne);FR;551952;165620
Montezillon;2037;2;Rochefort;NE;554178;204163
Montfaucon;2362;0;Montfaucon;JU;572298;236618
Montfavergier;2362;2;Montfaucon;JU;573499;239480
Montherod;1174;0;Montherod;VD;516807;151156
Monthey;1870;0;Monthey;VS;552420;118761
Monthey;1870;0;Monthey;VS;562822;123421
Monti della Trinità (Locarno);6605;0;Locarno;TI;703785;115224
Montignez;2924;0;Basse-Allaine;JU;571298;259260
Montlingen;9462;0;Oberriet (SG);SG;756403;242048
Montlingen;9462;0;Oberriet (SG);SG;762035;245503
Montmagny;1587;0;Vully-les-Lacs;VD;567163;197435
Montmelon;2883;0;Clos du Doubs;JU;579858;243930
Montmollin;2037;0;Montmollin;NE;554377;205517
Montpreveyres;1081;0;Montpreveyres;VD;546321;159217
Montreux;1820;0;Montreux;VD;559531;142777
Montricher;1147;0;Montricher;VD;517165;161879
Montsevelier;2828;0;Montsevelier;JU;605446;245455
Montévraz;1724;4;Le Mouret;FR;580481;173621
Moosleerau;5054;2;Moosleerau;AG;647649;235162
Moosseedorf;3302;0;Moosseedorf;BE;603611;206513
Morbio Inferiore;6834;0;Morbio Inferiore;TI;723011;78663
Morbio Superiore;6835;0;Breggia;TI;724675;80525
Morcles;1892;2;Lavey-Morcles;VD;569960;117108
Morcote;6922;0;Morcote;TI;714310;88003
Morens FR;1541;2;Morens (FR);FR;559241;188247
Morgarten;6315;3;Oberägeri;ZG;690739;218342
Morges;1110;0;Morges;VD;527575;151793
Morgins;1875;0;Troistorrents;VS;556033;121230
Morissen;7143;0;Morissen;GR;732455;177349
Morlens;1674;3;Ursy;FR;554094;167295
Morlon;1638;0;Morlon;FR;573287;163797
Morrens VD;1054;0;Morrens (VD);VD;537848;160406
Morschach;6443;0;Morschach;SZ;690227;203452
Mosen;6295;0;Hitzkirch;LU;659767;232596
Mosnang;9607;0;Mosnang;SG;720695;246773
Mosogno;6611;13;Mosogno;TI;692327;116994
Mossel;1675;3;Ursy;FR;555854;162895
Motto (Blenio);6721;2;Acquarossa;TI;717680;143069
Moudon;1510;0;Moudon;VD;550473;168987
Moutier;2740;0;Moutier;BE;594874;236220
Movelier;2812;0;Movelier;JU;591879;251086
Mugena;6939;1;Alto Malcantone;TI;711234;103181
Muggio;6838;0;Breggia;TI;723917;85034
Muhen;5037;0;Muhen;AG;647210;242766
Mulegns;7455;0;Mulegns;GR;764091;152124
Mumpf;4322;0;Mumpf;AG;636098;266118
Mumpé Medel;7183;0;Disentis/Mustér;GR;707751;171640
Mund;3903;0;Mund;VS;637105;134235
Muntelier;3286;0;Muntelier;FR;576961;199038
Muolen;9313;0;Muolen;SG;741645;264595
Muotathal;6436;0;Muotathal;SZ;700070;201888
Mur (Vully) FR;1787;1;Haut-Vully;FR;571508;199513
Mur (Vully) VD;1787;2;Vully-les-Lacs;VD;570569;198927
Muralto;6600;2;Muralto;TI;705329;114590
Muraz (Collombey);1893;0;Collombey-Muraz;VS;558415;126426
Muraz (Sierre);3960;5;Sierre;VS;606949;127278
Murg;8877;0;Quarten;SG;734248;218154
Murgenthal;4853;0;Murgenthal;AG;629537;233412
Murgenthal;4853;0;Murgenthal;AG;630422;235581
Muri AG;5630;0;Muri (AG);AG;668095;236214
Muri b. Bern;3074;0;Muri bei Bern;BE;603636;197280
Muriaux;2338;2;Muriaux;JU;565659;232713
Murist;1489;0;Murist;FR;552007;182841
Murten;3280;0;Murten;FR;576942;197547
Murzelen;3034;0;Wohlen bei Bern;BE;590335;202804
Mutrux;1428;2;Mutrux;VD;545725;192439
Mutten;7431;1;Mutten;GR;757670;171816
Muttenz;4132;0;Muttenz;BL;615757;263578
Muzzano;6933;0;Muzzano;TI;714759;95061
Mädris-Vermol;8886;0;Mels;SG;744799;211111
Mägenwil;5506;0;Mägenwil;AG;659988;251744
Männedorf;8708;0;Männedorf;ZH;694906;234218
Märstetten;8560;0;Märstetten;TG;723042;272667
Märwil;9562;0;Affeltrangen;TG;722637;265521
Ménières;1533;0;Ménières;FR;558105;181741
Mézery-près-Donneloye;1407;3;Donneloye;VD;545913;178258
Mézières FR;1684;0;Mézières (FR);FR;560899;170033
Mézières VD;1083;0;Mézières (VD);VD;548290;159858
Môtier (Vully);1787;0;Haut-Vully;FR;571996;199252
Môtiers NE;2112;0;Val-de-Travers;NE;537544;194917
Möhlin;4313;0;Möhlin;AG;631305;268547
Mönchaltorf;8617;0;Mönchaltorf;ZH;696759;240857
Mönthal;5237;0;Mönthal;AG;652508;262976
Mörel;3983;0;Mörel-Filet;VS;646211;133743
Mörigen;2572;2;Mörigen;BE;582828;214869
Möriken AG;5103;2;Möriken-Wildegg;AG;656892;251912
Mörschwil;9402;0;Mörschwil;SG;749928;259281
Mötschwil;3324;2;Mötschwil;BE;609890;210773
Mühlau;5642;0;Mühlau;AG;672059;231767
Mühlebach (Goms);3995;3;Ernen;VS;656553;139698
Mühlebach (Goms);3995;3;Ernen;VS;661523;139833
Mühleberg;3203;0;Mühleberg;BE;587616;201330
Mühledorf BE;3116;2;Mühledorf (BE);BE;607075;186220
Mühledorf SO;4583;0;Mühledorf (SO);SO;602672;220208
Mühlehorn;8874;0;Glarus Nord;GL;731779;217662
Mühlethal;4812;0;Zofingen;AG;640716;238891
Mühlethurnen;3127;0;Mühlethurnen;BE;605420;184975
Mühlrüti;9613;0;Mosnang;SG;716386;247645
Mülchi;3317;1;Mülchi;BE;602915;216726
Mülenen;3711;2;Aeschi bei Spiez;BE;619174;165414
Müllheim Dorf;8555;0;Müllheim;TG;717823;273457
Müllheim-Wigoltingen;8554;0;Wigoltingen;TG;718487;272227
Mülligen;5243;0;Mülligen;AG;660480;256039
Mümliswil;4717;0;Mümliswil-Ramiswil;SO;620829;243688
Münchenbuchsee;3053;0;Münchenbuchsee;BE;599934;207894
Münchenstein;4142;0;Münchenstein;BL;613021;262986
Münchenwiler;1797;0;Münchenwiler;BE;576141;195457
Münchringen;3303;2;Münchringen;BE;606540;210624
Münchwilen AG;4333;0;Münchwilen (AG);AG;639433;265095
Münchwilen TG;9542;0;Münchwilen (TG);TG;717239;260021
Münsingen;3110;0;Münsingen;BE;609251;191702
Münster VS;3985;0;Münster-Geschinen;VS;663930;148335
Münsterlingen;8596;1;Münsterlingen;TG;735049;277170
Müntschemier;3225;0;Müntschemier;BE;577647;204990
Mürren;3825;0;Lauterbrunnen;BE;632423;157931
Müselbach;9602;2;Kirchberg (SG);SG;720586;249697
Müstair;7537;0;Val Müstair;GR;830390;168428
Müswangen;6289;0;Hitzkirch;LU;665107;232483
Nassen;9123;0;Neckertal;SG;729619;248992
Naters;3904;0;Naters;VS;641853;131889
Nax;1973;0;Mont-Noble;VS;602545;118404
Naz;1041;26;Montilliez;VD;543003;167782
Nebikon;6244;0;Nebikon;LU;641579;226907
Necker;9126;0;Oberhelfenschwil;SG;727791;245270
Neerach;8173;0;Neerach;ZH;678096;262321
Neftenbach;8413;0;Neftenbach;ZH;692228;265286
Neggio;6991;0;Neggio;TI;711568;93913
Neirivue;1669;4;Haut-Intyamon;FR;568976;152929
Nendeln;9485;0;Gamprin (LI);;759978;229651
Nennigkofen;4574;0;Nennigkofen;SO;603872;225913
Nenzlingen;4224;0;Nenzlingen;BL;609288;255368
Neschwil;8484;2;Weisslingen;ZH;702301;253902
Nesselnbach;5524;2;Niederwil (AG);AG;664599;249466
Nesslau;9650;0;Nesslau-Krummenau;SG;732333;230415
Netstal;8754;0;Glarus;GL;722471;214037
Neu St. Johann;9652;0;Nesslau-Krummenau;SG;732867;233288
Neuchâtel;2000;0;Neuchâtel;NE;561121;205661
Neudorf;6025;0;Neudorf;LU;658248;225527
Neuendorf;4623;0;Neuendorf;SO;627368;238477
Neuenegg;3176;0;Neuenegg;BE;589223;195149
Neuenhof;5432;0;Neuenhof;AG;666876;255246
Neuenkirch;6206;0;Neuenkirch;LU;657944;216405
Neuhaus SG;8732;0;Eschenbach (SG);SG;714174;233650
Neuhausen am Rheinfall;8212;0;Neuhausen am Rheinfall;SH;687080;281527
Neuheim;6345;0;Neuheim;ZG;686791;228423
Neukirch (Egnach);9315;0;Egnach;TG;745433;265629
Neukirch an der Thur;9217;0;Kradolf-Schönenberg;TG;730396;263377
Neunkirch;8213;0;Neunkirch;SH;680184;281714
Neuwilen;8566;0;Kemmental;TG;727190;276076
Neyruz FR;1740;0;Neyruz (FR);FR;571249;179512
Neyruz-sur-Moudon;1515;1;Neyruz-sur-Moudon;VD;550279;171819
Nidau;2560;0;Nidau;BE;584947;219266
Nidfurn;8772;0;Glarus Süd;GL;722246;205351
Niederbipp;4704;0;Niederbipp;BE;619874;235156
Niederbuchsiten;4626;0;Niederbuchsiten;SO;625686;237527
Niederbüren;9246;0;Niederbüren;SG;733543;258436
Niederdorf;4435;0;Niederdorf;BL;623571;251340
Niedergampel;3945;1;Gampel-Bratsch;VS;621076;129656
Niedergesteln;3942;2;Niedergesteln;VS;626372;129163
Niederglatt SG;9240;2;Oberuzwil;SG;730545;254539
Niederglatt ZH;8172;0;Niederglatt;ZH;680043;260671
Niedergösgen;5013;0;Niedergösgen;SO;641115;247252
Niederhasli;8155;0;Niederhasli;ZH;678692;258762
Niederhelfenschwil;9527;0;Niederhelfenschwil;SG;731711;259990
Niederhünigen;3504;0;Niederhünigen;BE;615997;190431
Niederlenz;5702;0;Niederlenz;AG;655037;250677
Niedermuhlern;3087;0;Niedermuhlern;BE;601425;189870
Niederneunforn;8525;0;Neunforn;TG;700537;272219
